"","any","idMunicipi","nomMunicipi","idComarca","nomComarca","nomAT","idAT","entendre","parlar","llegir","escriure","poblacio_2_anys_i_mes","entendre_pct","parlar_pct","llegir_pct","escriure_pct","entendre_com","parlar_com","llegir_com","escriure_com","entendre_at","parlar_at","llegir_at","escriure_at"
"147",1996,"080370","Calldetenes","24","Osona","Comarques Centrals","AT06",1749,1618,1486,961,1764,99,92,84,54,99,93,89,61,99,93,88,60
"148",1991,"080370","Calldetenes","24","Osona","Comarques Centrals","AT06",1424,1273,1247,767,1435,99,89,87,53,99,91,85,56,99,90,83,54
"149",2011,"080386","Callús","07","Bages","Comarques Centrals","AT06",1786,1466,1563,1147,1812,99,81,86,63,98,85,87,66,99,91,91,72
"150",2001,"080386","Callús","07","Bages","Comarques Centrals","AT06",1256,1096,1095,975,1309,96,84,84,74,98,87,85,64,99,91,89,68
"151",1996,"080386","Callús","07","Bages","Comarques Centrals","AT06",1305,1183,1104,824,1330,98,89,83,62,98,88,84,56,99,93,88,60
"152",1991,"080386","Callús","07","Bages","Comarques Centrals","AT06",1373,1209,1091,752,1382,99,87,79,54,98,85,80,51,99,90,83,54
"153",2011,"080399","Campins","41","Vallès Oriental","Metropolità","AT01",466,452,434,353,466,100,97,93,76,97,81,84,62,97,79,82,61
"154",2001,"080399","Campins","41","Vallès Oriental","Metropolità","AT01",285,269,252,164,285,100,94,88,58,96,81,79,56,96,78,78,54
"155",1996,"080399","Campins","41","Vallès Oriental","Metropolità","AT01",238,227,215,139,239,100,95,90,58,96,81,77,51,96,78,75,49
"156",1991,"080399","Campins","41","Vallès Oriental","Metropolità","AT01",184,172,157,112,185,99,93,85,61,96,77,75,49,95,73,72,46
"157",2011,"080403","Canet de Mar","21","Maresme","Metropolità","AT01",13368,11403,11798,8543,13454,99,85,88,63,98,83,86,64,97,79,82,61
"158",2001,"080403","Canet de Mar","21","Maresme","Metropolità","AT01",9998,8296,8262,5964,10331,97,80,80,58,97,82,81,57,96,78,78,54
"159",1996,"080403","Canet de Mar","21","Maresme","Metropolità","AT01",9042,8035,7562,5842,9297,97,86,81,63,97,84,80,53,96,78,75,49
"160",1991,"080403","Canet de Mar","21","Maresme","Metropolità","AT01",8569,7324,7065,4759,8705,98,84,81,55,97,81,78,51,95,73,72,46
"161",2011,"080410","Canovelles","41","Vallès Oriental","Metropolità","AT01",14059,9800,10571,7354,15382,91,64,69,48,97,81,84,62,97,79,82,61
"162",2001,"080410","Canovelles","41","Vallès Oriental","Metropolità","AT01",11177,7950,7715,5528,12578,89,63,61,44,96,81,79,56,96,78,78,54
"163",1996,"080410","Canovelles","41","Vallès Oriental","Metropolità","AT01",11513,7974,7352,5031,13045,88,61,56,39,96,81,77,51,96,78,75,49
"164",1991,"080410","Canovelles","41","Vallès Oriental","Metropolità","AT01",11201,6759,6863,4249,13048,86,52,53,33,96,77,75,49,95,73,72,46
