"","any","idMunicipi","nomMunicipi","idComarca","nomComarca","nomAT","idAT","competencia","percentatge_comp","origen","percentatge_ori"
"84",2011,"080076","Arenys de Munt","21","Maresme","Metropolità","AT01","Parlar",85,"Estranger",8
"85",2011,"080082","Argençola","06","Anoia","Penedès","AT08","Entendre",100,"Catalunya",81
"86",2011,"080082","Argençola","06","Anoia","Penedès","AT08","Entendre",100,"Estat",3
"87",2011,"080082","Argençola","06","Anoia","Penedès","AT08","Entendre",100,"Estranger",15
"88",2011,"080082","Argençola","06","Anoia","Penedès","AT08","Escriure",75,"Catalunya",81
"89",2011,"080082","Argençola","06","Anoia","Penedès","AT08","Escriure",75,"Estat",3
"90",2011,"080082","Argençola","06","Anoia","Penedès","AT08","Escriure",75,"Estranger",15
"91",2011,"080082","Argençola","06","Anoia","Penedès","AT08","Llegir",100,"Catalunya",81
"92",2011,"080082","Argençola","06","Anoia","Penedès","AT08","Llegir",100,"Estat",3
"93",2011,"080082","Argençola","06","Anoia","Penedès","AT08","Llegir",100,"Estranger",15
"94",2011,"080082","Argençola","06","Anoia","Penedès","AT08","Parlar",89,"Catalunya",81
"95",2011,"080082","Argençola","06","Anoia","Penedès","AT08","Parlar",89,"Estat",3
"96",2011,"080082","Argençola","06","Anoia","Penedès","AT08","Parlar",89,"Estranger",15
"97",2011,"080095","Argentona","21","Maresme","Metropolità","AT01","Entendre",96,"Catalunya",77
"98",2011,"080095","Argentona","21","Maresme","Metropolità","AT01","Entendre",96,"Estat",16
"99",2011,"080095","Argentona","21","Maresme","Metropolità","AT01","Entendre",96,"Estranger",6
"100",2011,"080095","Argentona","21","Maresme","Metropolità","AT01","Escriure",64,"Catalunya",77
"101",2011,"080095","Argentona","21","Maresme","Metropolità","AT01","Escriure",64,"Estat",16
"102",2011,"080095","Argentona","21","Maresme","Metropolità","AT01","Escriure",64,"Estranger",6
"103",2011,"080095","Argentona","21","Maresme","Metropolità","AT01","Llegir",86,"Catalunya",77
"104",2011,"080095","Argentona","21","Maresme","Metropolità","AT01","Llegir",86,"Estat",16
"105",2011,"080095","Argentona","21","Maresme","Metropolità","AT01","Llegir",86,"Estranger",6
"106",2011,"080095","Argentona","21","Maresme","Metropolità","AT01","Parlar",82,"Catalunya",77
"107",2011,"080095","Argentona","21","Maresme","Metropolità","AT01","Parlar",82,"Estat",16
"108",2011,"080095","Argentona","21","Maresme","Metropolità","AT01","Parlar",82,"Estranger",6
"109",2011,"080109","Artés","07","Bages","Comarques Centrals","AT06","Entendre",94,"Catalunya",76
"110",2011,"080109","Artés","07","Bages","Comarques Centrals","AT06","Entendre",94,"Estat",14
"111",2011,"080109","Artés","07","Bages","Comarques Centrals","AT06","Entendre",94,"Estranger",10
"112",2011,"080109","Artés","07","Bages","Comarques Centrals","AT06","Escriure",67,"Catalunya",76
"113",2011,"080109","Artés","07","Bages","Comarques Centrals","AT06","Escriure",67,"Estat",14
"114",2011,"080109","Artés","07","Bages","Comarques Centrals","AT06","Escriure",67,"Estranger",10
"115",2011,"080109","Artés","07","Bages","Comarques Centrals","AT06","Llegir",85,"Catalunya",76
"116",2011,"080109","Artés","07","Bages","Comarques Centrals","AT06","Llegir",85,"Estat",14
"117",2011,"080109","Artés","07","Bages","Comarques Centrals","AT06","Llegir",85,"Estranger",10
"118",2011,"080109","Artés","07","Bages","Comarques Centrals","AT06","Parlar",83,"Catalunya",76
"119",2011,"080109","Artés","07","Bages","Comarques Centrals","AT06","Parlar",83,"Estat",14
"120",2011,"080109","Artés","07","Bages","Comarques Centrals","AT06","Parlar",83,"Estranger",10
"121",2011,"080116","Avià","14","Berguedà","Comarques Centrals","AT06","Entendre",96,"Catalunya",90
"122",2011,"080116","Avià","14","Berguedà","Comarques Centrals","AT06","Entendre",96,"Estat",4
"123",2011,"080116","Avià","14","Berguedà","Comarques Centrals","AT06","Entendre",96,"Estranger",6
"124",2011,"080116","Avià","14","Berguedà","Comarques Centrals","AT06","Escriure",70,"Catalunya",90
"125",2011,"080116","Avià","14","Berguedà","Comarques Centrals","AT06","Escriure",70,"Estat",4
"126",2011,"080116","Avià","14","Berguedà","Comarques Centrals","AT06","Escriure",70,"Estranger",6
"127",2011,"080116","Avià","14","Berguedà","Comarques Centrals","AT06","Llegir",87,"Catalunya",90
"128",2011,"080116","Avià","14","Berguedà","Comarques Centrals","AT06","Llegir",87,"Estat",4
"129",2011,"080116","Avià","14","Berguedà","Comarques Centrals","AT06","Llegir",87,"Estranger",6
"130",2011,"080116","Avià","14","Berguedà","Comarques Centrals","AT06","Parlar",91,"Catalunya",90
"131",2011,"080116","Avià","14","Berguedà","Comarques Centrals","AT06","Parlar",91,"Estat",4
"132",2011,"080116","Avià","14","Berguedà","Comarques Centrals","AT06","Parlar",91,"Estranger",6
"133",2011,"080121","Avinyó","07","Bages","Comarques Centrals","AT06","Entendre",93,"Catalunya",80
"134",2011,"080121","Avinyó","07","Bages","Comarques Centrals","AT06","Entendre",93,"Estat",9
"135",2011,"080121","Avinyó","07","Bages","Comarques Centrals","AT06","Entendre",93,"Estranger",11
"136",2011,"080121","Avinyó","07","Bages","Comarques Centrals","AT06","Escriure",71,"Catalunya",80
"137",2011,"080121","Avinyó","07","Bages","Comarques Centrals","AT06","Escriure",71,"Estat",9
"138",2011,"080121","Avinyó","07","Bages","Comarques Centrals","AT06","Escriure",71,"Estranger",11
"139",2011,"080121","Avinyó","07","Bages","Comarques Centrals","AT06","Llegir",87,"Catalunya",80
"140",2011,"080121","Avinyó","07","Bages","Comarques Centrals","AT06","Llegir",87,"Estat",9
"141",2011,"080121","Avinyó","07","Bages","Comarques Centrals","AT06","Llegir",87,"Estranger",11
"142",2011,"080121","Avinyó","07","Bages","Comarques Centrals","AT06","Parlar",87,"Catalunya",80
"143",2011,"080121","Avinyó","07","Bages","Comarques Centrals","AT06","Parlar",87,"Estat",9
"144",2011,"080121","Avinyó","07","Bages","Comarques Centrals","AT06","Parlar",87,"Estranger",11
"145",2011,"080137","Avinyonet del Penedès","03","Alt Penedès","Penedès","AT08","Entendre",95,"Catalunya",78
"146",2011,"080137","Avinyonet del Penedès","03","Alt Penedès","Penedès","AT08","Entendre",95,"Estat",11
"147",2011,"080137","Avinyonet del Penedès","03","Alt Penedès","Penedès","AT08","Entendre",95,"Estranger",11
"148",2011,"080137","Avinyonet del Penedès","03","Alt Penedès","Penedès","AT08","Escriure",59,"Catalunya",78
"149",2011,"080137","Avinyonet del Penedès","03","Alt Penedès","Penedès","AT08","Escriure",59,"Estat",11
"150",2011,"080137","Avinyonet del Penedès","03","Alt Penedès","Penedès","AT08","Escriure",59,"Estranger",11
"151",2011,"080137","Avinyonet del Penedès","03","Alt Penedès","Penedès","AT08","Llegir",81,"Catalunya",78
"152",2011,"080137","Avinyonet del Penedès","03","Alt Penedès","Penedès","AT08","Llegir",81,"Estat",11
"153",2011,"080137","Avinyonet del Penedès","03","Alt Penedès","Penedès","AT08","Llegir",81,"Estranger",11
"154",2011,"080137","Avinyonet del Penedès","03","Alt Penedès","Penedès","AT08","Parlar",80,"Catalunya",78
"155",2011,"080137","Avinyonet del Penedès","03","Alt Penedès","Penedès","AT08","Parlar",80,"Estat",11
"156",2011,"080137","Avinyonet del Penedès","03","Alt Penedès","Penedès","AT08","Parlar",80,"Estranger",11
"157",2011,"080142","Aiguafreda","41","Vallès Oriental","Metropolità","AT01","Entendre",95,"Catalunya",79
"158",2011,"080142","Aiguafreda","41","Vallès Oriental","Metropolità","AT01","Entendre",95,"Estat",14
"159",2011,"080142","Aiguafreda","41","Vallès Oriental","Metropolità","AT01","Entendre",95,"Estranger",7
"160",2011,"080142","Aiguafreda","41","Vallès Oriental","Metropolità","AT01","Escriure",63,"Catalunya",79
"161",2011,"080142","Aiguafreda","41","Vallès Oriental","Metropolità","AT01","Escriure",63,"Estat",14
"162",2011,"080142","Aiguafreda","41","Vallès Oriental","Metropolità","AT01","Escriure",63,"Estranger",7
"163",2011,"080142","Aiguafreda","41","Vallès Oriental","Metropolità","AT01","Llegir",83,"Catalunya",79
"164",2011,"080142","Aiguafreda","41","Vallès Oriental","Metropolità","AT01","Llegir",83,"Estat",14
"165",2011,"080142","Aiguafreda","41","Vallès Oriental","Metropolità","AT01","Llegir",83,"Estranger",7
"166",2011,"080142","Aiguafreda","41","Vallès Oriental","Metropolità","AT01","Parlar",83,"Catalunya",79
"167",2011,"080142","Aiguafreda","41","Vallès Oriental","Metropolità","AT01","Parlar",83,"Estat",14
"168",2011,"080142","Aiguafreda","41","Vallès Oriental","Metropolità","AT01","Parlar",83,"Estranger",7
