Municipi,Nom comarca,Àmbit territorial,Descàrrega
Abella de la Conca,Pallars Jussà,Alt Pirineu i Aran,#català947 Abella de la Conca
Abrera,Baix Llobregat,Metropolità,#català947 Abrera
Àger,Noguera,Ponent,#català947 Àger
Agramunt,Urgell,Ponent,#català947 Agramunt
Aguilar de Segarra,Bages,Comarques Centrals,#català947 Aguilar de Segarra
Agullana,Alt Empordà,Comarques Gironines,#català947 Agullana
Aiguafreda,Vallès Oriental,Metropolità,#català947 Aiguafreda
Aiguamúrcia,Alt Camp,Camp de Tarragona,#català947 Aiguamúrcia
Aiguaviva,Gironès,Comarques Gironines,#català947 Aiguaviva
Aitona,Segrià,Ponent,#català947 Aitona
"Alamús, els",Segrià,Ponent,"#català947 Alamús, els"
Alàs i Cerc,Alt Urgell,Alt Pirineu i Aran,#català947 Alàs i Cerc
"Albagés, l'",Garrigues,Ponent,"#català947 Albagés, l'"
Albanyà,Alt Empordà,Comarques Gironines,#català947 Albanyà
Albatàrrec,Segrià,Ponent,#català947 Albatàrrec
Albesa,Noguera,Ponent,#català947 Albesa
"Albi, l'",Garrigues,Ponent,"#català947 Albi, l'"
Albinyana,Baix Penedès,Penedès,#català947 Albinyana
"Albiol, l'",Baix Camp,Camp de Tarragona,"#català947 Albiol, l'"
Albons,Baix Empordà,Comarques Gironines,#català947 Albons
Alcanar,Montsià,Terres de l'Ebre,#català947 Alcanar
Alcanó,Segrià,Ponent,#català947 Alcanó
Alcarràs,Segrià,Ponent,#català947 Alcarràs
Alcoletge,Segrià,Ponent,#català947 Alcoletge
Alcover,Alt Camp,Camp de Tarragona,#català947 Alcover
"Aldea, l'",Baix Ebre,Terres de l'Ebre,"#català947 Aldea, l'"
Aldover,Baix Ebre,Terres de l'Ebre,#català947 Aldover
"Aleixar, l'",Baix Camp,Camp de Tarragona,"#català947 Aleixar, l'"
Alella,Maresme,Metropolità,#català947 Alella
Alfara de Carles,Baix Ebre,Terres de l'Ebre,#català947 Alfara de Carles
Alfarràs,Segrià,Ponent,#català947 Alfarràs
Alfés,Segrià,Ponent,#català947 Alfés
Alforja,Baix Camp,Camp de Tarragona,#català947 Alforja
Algerri,Noguera,Ponent,#català947 Algerri
Alguaire,Segrià,Ponent,#català947 Alguaire
Alins,Pallars Sobirà,Alt Pirineu i Aran,#català947 Alins
Alió,Alt Camp,Camp de Tarragona,#català947 Alió
Almacelles,Segrià,Ponent,#català947 Almacelles
Almatret,Segrià,Ponent,#català947 Almatret
Almenar,Segrià,Ponent,#català947 Almenar
Almoster,Baix Camp,Camp de Tarragona,#català947 Almoster
Alòs de Balaguer,Noguera,Ponent,#català947 Alòs de Balaguer
Alp,Cerdanya,Alt Pirineu i Aran,#català947 Alp
Alpens,Osona,Comarques Centrals,#català947 Alpens
Alpicat,Segrià,Ponent,#català947 Alpicat
Alt Àneu,Pallars Sobirà,Alt Pirineu i Aran,#català947 Alt Àneu
Altafulla,Tarragonès,Camp de Tarragona,#català947 Altafulla
Amer,Selva,Comarques Gironines,#català947 Amer
"Ametlla de Mar, l'",Baix Ebre,Terres de l'Ebre,"#català947 Ametlla de Mar, l'"
"Ametlla del Vallès, l'",Vallès Oriental,Metropolità,"#català947 Ametlla del Vallès, l'"
"Ampolla, l'",Baix Ebre,Terres de l'Ebre,"#català947 Ampolla, l'"
Amposta,Montsià,Terres de l'Ebre,#català947 Amposta
Anglès,Selva,Comarques Gironines,#català947 Anglès
Anglesola,Urgell,Ponent,#català947 Anglesola
Arbeca,Garrigues,Ponent,#català947 Arbeca
"Arboç, l'",Baix Penedès,Penedès,"#català947 Arboç, l'"
Arbolí,Baix Camp,Camp de Tarragona,#català947 Arbolí
Arbúcies,Selva,Comarques Gironines,#català947 Arbúcies
Arenys de Mar,Maresme,Metropolità,#català947 Arenys de Mar
Arenys de Munt,Maresme,Metropolità,#català947 Arenys de Munt
Argelaguer,Garrotxa,Comarques Gironines,#català947 Argelaguer
Argençola,Anoia,Penedès,#català947 Argençola
"Argentera, l'",Baix Camp,Camp de Tarragona,"#català947 Argentera, l'"
Argentona,Maresme,Metropolità,#català947 Argentona
"Armentera, l'",Alt Empordà,Comarques Gironines,"#català947 Armentera, l'"
Arnes,Terra Alta,Terres de l'Ebre,#català947 Arnes
Arres,Aran,Alt Pirineu i Aran,#català947 Arres
Arsèguel,Alt Urgell,Alt Pirineu i Aran,#català947 Arsèguel
Artés,Bages,Comarques Centrals,#català947 Artés
Artesa de Lleida,Segrià,Ponent,#català947 Artesa de Lleida
Artesa de Segre,Noguera,Ponent,#català947 Artesa de Segre
Ascó,Ribera d'Ebre,Terres de l'Ebre,#català947 Ascó
Aspa,Segrià,Ponent,#català947 Aspa
"Avellanes i Santa Linya, les",Noguera,Ponent,"#català947 Avellanes i Santa Linya, les"
Avià,Berguedà,Comarques Centrals,#català947 Avià
Avinyó,Bages,Comarques Centrals,#català947 Avinyó
Avinyonet de Puigventós,Alt Empordà,Comarques Gironines,#català947 Avinyonet de Puigventós
Avinyonet del Penedès,Alt Penedès,Penedès,#català947 Avinyonet del Penedès
Badalona,Barcelonès,Metropolità,#català947 Badalona
Badia del Vallès,Vallès Occidental,Metropolità,#català947 Badia del Vallès
Bagà,Berguedà,Comarques Centrals,#català947 Bagà
Baix Pallars,Pallars Sobirà,Alt Pirineu i Aran,#català947 Baix Pallars
Balaguer,Noguera,Ponent,#català947 Balaguer
Balenyà,Osona,Comarques Centrals,#català947 Balenyà
Balsareny,Bages,Comarques Centrals,#català947 Balsareny
Banyeres del Penedès,Baix Penedès,Penedès,#català947 Banyeres del Penedès
Banyoles,Pla de l'Estany,Comarques Gironines,#català947 Banyoles
Barbens,Pla d'Urgell,Ponent,#català947 Barbens
Barberà de la Conca,Conca de Barberà,Camp de Tarragona,#català947 Barberà de la Conca
Barberà del Vallès,Vallès Occidental,Metropolità,#català947 Barberà del Vallès
Barcelona,Barcelonès,Metropolità,#català947 Barcelona
"Baronia de Rialb, la",Noguera,Ponent,"#català947 Baronia de Rialb, la"
Bàscara,Alt Empordà,Comarques Gironines,#català947 Bàscara
Bassella,Alt Urgell,Alt Pirineu i Aran,#català947 Bassella
Batea,Terra Alta,Terres de l'Ebre,#català947 Batea
Bausen,Aran,Alt Pirineu i Aran,#català947 Bausen
Begues,Baix Llobregat,Metropolità,#català947 Begues
Begur,Baix Empordà,Comarques Gironines,#català947 Begur
Belianes,Urgell,Ponent,#català947 Belianes
Bellaguarda,Garrigues,Ponent,#català947 Bellaguarda
Bellcaire d'Empordà,Baix Empordà,Comarques Gironines,#català947 Bellcaire d'Empordà
Bellcaire d'Urgell,Noguera,Ponent,#català947 Bellcaire d'Urgell
Bell-lloc d'Urgell,Pla d'Urgell,Ponent,#català947 Bell-lloc d'Urgell
Bellmunt del Priorat,Priorat,Camp de Tarragona,#català947 Bellmunt del Priorat
Bellmunt d'Urgell,Noguera,Ponent,#català947 Bellmunt d'Urgell
Bellprat,Anoia,Penedès,#català947 Bellprat
Bellpuig,Urgell,Ponent,#català947 Bellpuig
Bellvei,Baix Penedès,Penedès,#català947 Bellvei
Bellver de Cerdanya,Cerdanya,Alt Pirineu i Aran,#català947 Bellver de Cerdanya
Bellvís,Pla d'Urgell,Ponent,#català947 Bellvís
Benavent de Segrià,Segrià,Ponent,#català947 Benavent de Segrià
Benifallet,Baix Ebre,Terres de l'Ebre,#català947 Benifallet
Benissanet,Ribera d'Ebre,Terres de l'Ebre,#català947 Benissanet
Berga,Berguedà,Comarques Centrals,#català947 Berga
Besalú,Garrotxa,Comarques Gironines,#català947 Besalú
Bescanó,Gironès,Comarques Gironines,#català947 Bescanó
Beuda,Garrotxa,Comarques Gironines,#català947 Beuda
Bigues i Riells,Vallès Oriental,Metropolità,#català947 Bigues i Riells
Biosca,Segarra,Ponent,#català947 Biosca
"Bisbal de Falset, la",Priorat,Camp de Tarragona,"#català947 Bisbal de Falset, la"
"Bisbal del Penedès, la",Baix Penedès,Penedès,"#català947 Bisbal del Penedès, la"
"Bisbal d'Empordà, la",Baix Empordà,Comarques Gironines,"#català947 Bisbal d'Empordà, la"
Biure,Alt Empordà,Comarques Gironines,#català947 Biure
Blancafort,Conca de Barberà,Camp de Tarragona,#català947 Blancafort
Blanes,Selva,Comarques Gironines,#català947 Blanes
Boadella i les Escaules,Alt Empordà,Comarques Gironines,#català947 Boadella i les Escaules
Bolvir,Cerdanya,Alt Pirineu i Aran,#català947 Bolvir
Bonastre,Baix Penedès,Penedès,#català947 Bonastre
"Bòrdes, Es",Aran,Alt Pirineu i Aran,"#català947 Bòrdes, Es"
Bordils,Gironès,Comarques Gironines,#català947 Bordils
"Borges Blanques, les",Garrigues,Ponent,"#català947 Borges Blanques, les"
"Borges del Camp, les",Baix Camp,Camp de Tarragona,"#català947 Borges del Camp, les"
Borrassà,Alt Empordà,Comarques Gironines,#català947 Borrassà
Borredà,Berguedà,Comarques Centrals,#català947 Borredà
Bossòst,Aran,Alt Pirineu i Aran,#català947 Bossòst
Bot,Terra Alta,Terres de l'Ebre,#català947 Bot
Botarell,Baix Camp,Camp de Tarragona,#català947 Botarell
Bovera,Garrigues,Ponent,#català947 Bovera
Bràfim,Alt Camp,Camp de Tarragona,#català947 Bràfim
Breda,Selva,Comarques Gironines,#català947 Breda
"Bruc, el",Anoia,Penedès,"#català947 Bruc, el"
"Brull, el",Osona,Comarques Centrals,"#català947 Brull, el"
Brunyola i Sant Martí Sapresa,Selva,Comarques Gironines,#català947 Brunyola i Sant Martí Sapresa
Cabacés,Priorat,Camp de Tarragona,#català947 Cabacés
Cabanabona,Noguera,Ponent,#català947 Cabanabona
Cabanelles,Alt Empordà,Comarques Gironines,#català947 Cabanelles
Cabanes,Alt Empordà,Comarques Gironines,#català947 Cabanes
"Cabanyes, les",Alt Penedès,Penedès,"#català947 Cabanyes, les"
Cabó,Alt Urgell,Alt Pirineu i Aran,#català947 Cabó
Cabra del Camp,Alt Camp,Camp de Tarragona,#català947 Cabra del Camp
Cabrera d'Anoia,Anoia,Penedès,#català947 Cabrera d'Anoia
Cabrera de Mar,Maresme,Metropolità,#català947 Cabrera de Mar
Cabrils,Maresme,Metropolità,#català947 Cabrils
Cadaqués,Alt Empordà,Comarques Gironines,#català947 Cadaqués
Calaf,Anoia,Comarques Centrals,#català947 Calaf
Calafell,Baix Penedès,Penedès,#català947 Calafell
Calders,Moianès,Comarques Centrals,#català947 Calders
Caldes de Malavella,Selva,Comarques Gironines,#català947 Caldes de Malavella
Caldes de Montbui,Vallès Oriental,Metropolità,#català947 Caldes de Montbui
Caldes d'Estrac,Maresme,Metropolità,#català947 Caldes d'Estrac
Calella,Maresme,Metropolità,#català947 Calella
Calldetenes,Osona,Comarques Centrals,#català947 Calldetenes
Callús,Bages,Comarques Centrals,#català947 Callús
Calonge de Segarra,Anoia,Comarques Centrals,#català947 Calonge de Segarra
Calonge i Sant Antoni,Baix Empordà,Comarques Gironines,#català947 Calonge i Sant Antoni
Camarasa,Noguera,Ponent,#català947 Camarasa
Camarles,Baix Ebre,Terres de l'Ebre,#català947 Camarles
Cambrils,Baix Camp,Camp de Tarragona,#català947 Cambrils
Camós,Pla de l'Estany,Comarques Gironines,#català947 Camós
Campdevànol,Ripollès,Comarques Gironines,#català947 Campdevànol
Campelles,Ripollès,Comarques Gironines,#català947 Campelles
Campins,Vallès Oriental,Metropolità,#català947 Campins
Campllong,Gironès,Comarques Gironines,#català947 Campllong
Camprodon,Ripollès,Comarques Gironines,#català947 Camprodon
Canejan,Aran,Alt Pirineu i Aran,#català947 Canejan
Canet d'Adri,Gironès,Comarques Gironines,#català947 Canet d'Adri
Canet de Mar,Maresme,Metropolità,#català947 Canet de Mar
"Canonja, la",Tarragonès,Camp de Tarragona,"#català947 Canonja, la"
Canovelles,Vallès Oriental,Metropolità,#català947 Canovelles
Cànoves i Samalús,Vallès Oriental,Metropolità,#català947 Cànoves i Samalús
Cantallops,Alt Empordà,Comarques Gironines,#català947 Cantallops
Canyelles,Garraf,Penedès,#català947 Canyelles
Capafonts,Baix Camp,Camp de Tarragona,#català947 Capafonts
Capçanes,Priorat,Camp de Tarragona,#català947 Capçanes
Capellades,Anoia,Penedès,#català947 Capellades
Capmany,Alt Empordà,Comarques Gironines,#català947 Capmany
Capolat,Berguedà,Comarques Centrals,#català947 Capolat
Cardedeu,Vallès Oriental,Metropolità,#català947 Cardedeu
Cardona,Bages,Comarques Centrals,#català947 Cardona
Carme,Anoia,Penedès,#català947 Carme
Caseres,Terra Alta,Terres de l'Ebre,#català947 Caseres
Cassà de la Selva,Gironès,Comarques Gironines,#català947 Cassà de la Selva
Casserres,Berguedà,Comarques Centrals,#català947 Casserres
Castell de l'Areny,Berguedà,Comarques Centrals,#català947 Castell de l'Areny
Castell de Mur,Pallars Jussà,Alt Pirineu i Aran,#català947 Castell de Mur
Castellar de la Ribera,Solsonès,Comarques Centrals,#català947 Castellar de la Ribera
Castellar de n'Hug,Berguedà,Comarques Centrals,#català947 Castellar de n'Hug
Castellar del Riu,Berguedà,Comarques Centrals,#català947 Castellar del Riu
Castellar del Vallès,Vallès Occidental,Metropolità,#català947 Castellar del Vallès
Castellbell i el Vilar,Bages,Comarques Centrals,#català947 Castellbell i el Vilar
Castellbisbal,Vallès Occidental,Metropolità,#català947 Castellbisbal
Castellcir,Moianès,Metropolità,#català947 Castellcir
Castelldans,Garrigues,Ponent,#català947 Castelldans
Castelldefels,Baix Llobregat,Metropolità,#català947 Castelldefels
Castellet i la Gornal,Alt Penedès,Penedès,#català947 Castellet i la Gornal
Castellfollit de la Roca,Garrotxa,Comarques Gironines,#català947 Castellfollit de la Roca
Castellfollit de Riubregós,Anoia,Comarques Centrals,#català947 Castellfollit de Riubregós
Castellfollit del Boix,Bages,Comarques Centrals,#català947 Castellfollit del Boix
Castellgalí,Bages,Comarques Centrals,#català947 Castellgalí
Castellnou de Bages,Bages,Comarques Centrals,#català947 Castellnou de Bages
Castellnou de Seana,Pla d'Urgell,Ponent,#català947 Castellnou de Seana
Castelló de Farfanya,Noguera,Ponent,#català947 Castelló de Farfanya
Castelló d'Empúries,Alt Empordà,Comarques Gironines,#català947 Castelló d'Empúries
Castellolí,Anoia,Penedès,#català947 Castellolí
Castell-Platja d'Aro,Baix Empordà,Comarques Gironines,#català947 Castell-Platja d'Aro
Castellserà,Urgell,Ponent,#català947 Castellserà
Castellterçol,Moianès,Metropolità,#català947 Castellterçol
Castellvell del Camp,Baix Camp,Camp de Tarragona,#català947 Castellvell del Camp
Castellví de la Marca,Alt Penedès,Penedès,#català947 Castellví de la Marca
Castellví de Rosanes,Baix Llobregat,Metropolità,#català947 Castellví de Rosanes
"Catllar, el",Tarragonès,Camp de Tarragona,"#català947 Catllar, el"
Cava,Alt Urgell,Alt Pirineu i Aran,#català947 Cava
"Cellera de Ter, la",Selva,Comarques Gironines,"#català947 Cellera de Ter, la"
Celrà,Gironès,Comarques Gironines,#català947 Celrà
Centelles,Osona,Comarques Centrals,#català947 Centelles
Cercs,Berguedà,Comarques Centrals,#català947 Cercs
Cerdanyola del Vallès,Vallès Occidental,Metropolità,#català947 Cerdanyola del Vallès
Cervelló,Baix Llobregat,Metropolità,#català947 Cervelló
Cervera,Segarra,Ponent,#català947 Cervera
Cervià de les Garrigues,Garrigues,Ponent,#català947 Cervià de les Garrigues
Cervià de Ter,Gironès,Comarques Gironines,#català947 Cervià de Ter
Cistella,Alt Empordà,Comarques Gironines,#català947 Cistella
Ciutadilla,Urgell,Ponent,#català947 Ciutadilla
Clariana de Cardener,Solsonès,Comarques Centrals,#català947 Clariana de Cardener
"Cogul, el",Garrigues,Ponent,"#català947 Cogul, el"
Colera,Alt Empordà,Comarques Gironines,#català947 Colera
Coll de Nargó,Alt Urgell,Alt Pirineu i Aran,#català947 Coll de Nargó
Collbató,Baix Llobregat,Metropolità,#català947 Collbató
Colldejou,Baix Camp,Camp de Tarragona,#català947 Colldejou
Collsuspina,Moianès,Comarques Centrals,#català947 Collsuspina
Colomers,Baix Empordà,Comarques Gironines,#català947 Colomers
"Coma i la Pedra, la",Solsonès,Comarques Centrals,"#català947 Coma i la Pedra, la"
Conca de Dalt,Pallars Jussà,Alt Pirineu i Aran,#català947 Conca de Dalt
Conesa,Conca de Barberà,Camp de Tarragona,#català947 Conesa
Constantí,Tarragonès,Camp de Tarragona,#català947 Constantí
Copons,Anoia,Penedès,#català947 Copons
Corbera de Llobregat,Baix Llobregat,Metropolità,#català947 Corbera de Llobregat
Corbera d'Ebre,Terra Alta,Terres de l'Ebre,#català947 Corbera d'Ebre
Corbins,Segrià,Ponent,#català947 Corbins
Corçà,Baix Empordà,Comarques Gironines,#català947 Corçà
Cornellà de Llobregat,Baix Llobregat,Metropolità,#català947 Cornellà de Llobregat
Cornellà del Terri,Pla de l'Estany,Comarques Gironines,#català947 Cornellà del Terri
Cornudella de Montsant,Priorat,Camp de Tarragona,#català947 Cornudella de Montsant
Creixell,Tarragonès,Camp de Tarragona,#català947 Creixell
Crespià,Pla de l'Estany,Comarques Gironines,#català947 Crespià
"Cruïlles, Monells i Sant Sadurní de l'Heura",Baix Empordà,Comarques Gironines,"#català947 Cruïlles, Monells i Sant Sadurní de l'Heura"
Cubelles,Garraf,Penedès,#català947 Cubelles
Cubells,Noguera,Ponent,#català947 Cubells
Cunit,Baix Penedès,Penedès,#català947 Cunit
Darnius,Alt Empordà,Comarques Gironines,#català947 Darnius
Das,Cerdanya,Alt Pirineu i Aran,#català947 Das
Deltebre,Baix Ebre,Terres de l'Ebre,#català947 Deltebre
Dosrius,Maresme,Metropolità,#català947 Dosrius
Duesaigües,Baix Camp,Camp de Tarragona,#català947 Duesaigües
"Escala, l'",Alt Empordà,Comarques Gironines,"#català947 Escala, l'"
Esparreguera,Baix Llobregat,Metropolità,#català947 Esparreguera
Espinelves,Osona,Comarques Centrals,#català947 Espinelves
"Espluga Calba, l'",Garrigues,Ponent,"#català947 Espluga Calba, l'"
"Espluga de Francolí, l'",Conca de Barberà,Camp de Tarragona,"#català947 Espluga de Francolí, l'"
Esplugues de Llobregat,Baix Llobregat,Metropolità,#català947 Esplugues de Llobregat
Espolla,Alt Empordà,Comarques Gironines,#català947 Espolla
Esponellà,Pla de l'Estany,Comarques Gironines,#català947 Esponellà
Espot,Pallars Sobirà,Alt Pirineu i Aran,#català947 Espot
"Espunyola, l'",Berguedà,Comarques Centrals,"#català947 Espunyola, l'"
"Esquirol, l'",Osona,Comarques Centrals,"#català947 Esquirol, l'"
Estamariu,Alt Urgell,Alt Pirineu i Aran,#català947 Estamariu
"Estany, l'",Moianès,Comarques Centrals,"#català947 Estany, l'"
Estaràs,Segarra,Ponent,#català947 Estaràs
Esterri d'Àneu,Pallars Sobirà,Alt Pirineu i Aran,#català947 Esterri d'Àneu
Esterri de Cardós,Pallars Sobirà,Alt Pirineu i Aran,#català947 Esterri de Cardós
Falset,Priorat,Camp de Tarragona,#català947 Falset
"Far d'Empordà, el",Alt Empordà,Comarques Gironines,"#català947 Far d'Empordà, el"
Farrera,Pallars Sobirà,Alt Pirineu i Aran,#català947 Farrera
"Fatarella, la",Terra Alta,Terres de l'Ebre,"#català947 Fatarella, la"
"Febró, la",Baix Camp,Camp de Tarragona,"#català947 Febró, la"
Figaró-Montmany,Vallès Oriental,Metropolità,#català947 Figaró-Montmany
Fígols,Berguedà,Comarques Centrals,#català947 Fígols
Fígols i Alinyà,Alt Urgell,Alt Pirineu i Aran,#català947 Fígols i Alinyà
"Figuera, la",Priorat,Camp de Tarragona,"#català947 Figuera, la"
Figueres,Alt Empordà,Comarques Gironines,#català947 Figueres
Figuerola del Camp,Alt Camp,Camp de Tarragona,#català947 Figuerola del Camp
Flaçà,Gironès,Comarques Gironines,#català947 Flaçà
Flix,Ribera d'Ebre,Terres de l'Ebre,#català947 Flix
"Floresta, la",Garrigues,Ponent,"#català947 Floresta, la"
Fogars de la Selva,Selva,Comarques Gironines,#català947 Fogars de la Selva
Fogars de Montclús,Vallès Oriental,Metropolità,#català947 Fogars de Montclús
Foixà,Baix Empordà,Comarques Gironines,#català947 Foixà
Folgueroles,Osona,Comarques Centrals,#català947 Folgueroles
Fondarella,Pla d'Urgell,Ponent,#català947 Fondarella
Fonollosa,Bages,Comarques Centrals,#català947 Fonollosa
Fontanals de Cerdanya,Cerdanya,Alt Pirineu i Aran,#català947 Fontanals de Cerdanya
Fontanilles,Baix Empordà,Comarques Gironines,#català947 Fontanilles
Fontcoberta,Pla de l'Estany,Comarques Gironines,#català947 Fontcoberta
Font-rubí,Alt Penedès,Penedès,#català947 Font-rubí
Foradada,Noguera,Ponent,#català947 Foradada
Forallac,Baix Empordà,Comarques Gironines,#català947 Forallac
Forès,Conca de Barberà,Camp de Tarragona,#català947 Forès
Fornells de la Selva,Gironès,Comarques Gironines,#català947 Fornells de la Selva
Fortià,Alt Empordà,Comarques Gironines,#català947 Fortià
"Franqueses del Vallès, les",Vallès Oriental,Metropolità,"#català947 Franqueses del Vallès, les"
Freginals,Montsià,Terres de l'Ebre,#català947 Freginals
"Fuliola, la",Urgell,Ponent,"#català947 Fuliola, la"
Fulleda,Garrigues,Ponent,#català947 Fulleda
Gaià,Bages,Comarques Centrals,#català947 Gaià
"Galera, la",Montsià,Terres de l'Ebre,"#català947 Galera, la"
Gallifa,Vallès Occidental,Metropolità,#català947 Gallifa
Gandesa,Terra Alta,Terres de l'Ebre,#català947 Gandesa
Garcia,Ribera d'Ebre,Terres de l'Ebre,#català947 Garcia
"Garidells, els",Alt Camp,Camp de Tarragona,"#català947 Garidells, els"
"Garriga, la",Vallès Oriental,Metropolità,"#català947 Garriga, la"
Garrigàs,Alt Empordà,Comarques Gironines,#català947 Garrigàs
Garrigoles,Baix Empordà,Comarques Gironines,#català947 Garrigoles
Garriguella,Alt Empordà,Comarques Gironines,#català947 Garriguella
Gavà,Baix Llobregat,Metropolità,#català947 Gavà
Gavet de la Conca,Pallars Jussà,Alt Pirineu i Aran,#català947 Gavet de la Conca
Gelida,Alt Penedès,Penedès,#català947 Gelida
Ger,Cerdanya,Alt Pirineu i Aran,#català947 Ger
Gimenells i el Pla de la Font,Segrià,Ponent,#català947 Gimenells i el Pla de la Font
Ginestar,Ribera d'Ebre,Terres de l'Ebre,#català947 Ginestar
Girona,Gironès,Comarques Gironines,#català947 Girona
Gironella,Berguedà,Comarques Centrals,#català947 Gironella
Gisclareny,Berguedà,Comarques Centrals,#català947 Gisclareny
Godall,Montsià,Terres de l'Ebre,#català947 Godall
Golmés,Pla d'Urgell,Ponent,#català947 Golmés
Gombrèn,Ripollès,Comarques Gironines,#català947 Gombrèn
Gósol,Berguedà,Comarques Centrals,#català947 Gósol
