Municipi,Nom comarca,Àmbit territorial,Descàrrega
Pineda de Mar,Maresme,Metropolità,#català947 Pineda de Mar
"Pinell de Brai, el",Terra Alta,Terres de l'Ebre,"#català947 Pinell de Brai, el"
Pinell de Solsonès,Solsonès,Comarques Centrals,#català947 Pinell de Solsonès
Pinós,Solsonès,Comarques Centrals,#català947 Pinós
Pira,Conca de Barberà,Camp de Tarragona,#català947 Pira
"Pla de Santa Maria, el",Alt Camp,Camp de Tarragona,"#català947 Pla de Santa Maria, el"
"Pla del Penedès, el",Alt Penedès,Penedès,"#català947 Pla del Penedès, el"
"Planes d'Hostoles, les",Garrotxa,Comarques Gironines,"#català947 Planes d'Hostoles, les"
Planoles,Ripollès,Comarques Gironines,#català947 Planoles
"Plans de Sió, els",Segarra,Ponent,"#català947 Plans de Sió, els"
"Poal, el",Pla d'Urgell,Ponent,"#català947 Poal, el"
"Pobla de Cérvoles, la",Garrigues,Ponent,"#català947 Pobla de Cérvoles, la"
"Pobla de Claramunt, la",Anoia,Penedès,"#català947 Pobla de Claramunt, la"
"Pobla de Lillet, la",Berguedà,Comarques Centrals,"#català947 Pobla de Lillet, la"
"Pobla de Mafumet, la",Tarragonès,Camp de Tarragona,"#català947 Pobla de Mafumet, la"
"Pobla de Massaluca, la",Terra Alta,Terres de l'Ebre,"#català947 Pobla de Massaluca, la"
"Pobla de Montornès, la",Tarragonès,Camp de Tarragona,"#català947 Pobla de Montornès, la"
"Pobla de Segur, la",Pallars Jussà,Alt Pirineu i Aran,"#català947 Pobla de Segur, la"
Poboleda,Priorat,Camp de Tarragona,#català947 Poboleda
Polinyà,Vallès Occidental,Metropolità,#català947 Polinyà
"Pont d'Armentera, el",Alt Camp,Camp de Tarragona,"#català947 Pont d'Armentera, el"
"Pont de Bar, el",Alt Urgell,Alt Pirineu i Aran,"#català947 Pont de Bar, el"
Pont de Molins,Alt Empordà,Comarques Gironines,#català947 Pont de Molins
"Pont de Suert, el",Alta Ribagorça,Alt Pirineu i Aran,"#català947 Pont de Suert, el"
"Pont de Vilomara i Rocafort, el",Bages,Comarques Centrals,"#català947 Pont de Vilomara i Rocafort, el"
Pontils,Conca de Barberà,Camp de Tarragona,#català947 Pontils
Pontons,Alt Penedès,Penedès,#català947 Pontons
Pontós,Alt Empordà,Comarques Gironines,#català947 Pontós
Ponts,Noguera,Ponent,#català947 Ponts
Porqueres,Pla de l'Estany,Comarques Gironines,#català947 Porqueres
Porrera,Priorat,Camp de Tarragona,#català947 Porrera
"Port de la Selva, el",Alt Empordà,Comarques Gironines,"#català947 Port de la Selva, el"
Portbou,Alt Empordà,Comarques Gironines,#català947 Portbou
"Portella, la",Segrià,Ponent,"#català947 Portella, la"
Pradell de la Teixeta,Priorat,Camp de Tarragona,#català947 Pradell de la Teixeta
Prades,Baix Camp,Camp de Tarragona,#català947 Prades
Prat de Comte,Terra Alta,Terres de l'Ebre,#català947 Prat de Comte
"Prat de Llobregat, el",Baix Llobregat,Metropolità,"#català947 Prat de Llobregat, el"
